Strouse Cat ID,Item Name/Number,Vendor Name/Code,Primary Units Type,Primary Units Type ID,Department,Location,Track Landed Cost,Costing Method,Cost Category,Purchase Description,Use Bin,Purchase Price,Vendor 1 Name,Vendor 1 Id,Vendor 1 Subsidiary,Vendor 1 Preferred,Vendor 1 Purchase Price,Bin Number,Preferred (Per Location),COGS Account,Asset Account,Income Account,Tax Schedule
21484,WF20RGGRPTOM-W10.4,WF20RGGRPTOM,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"CSM, Lidding Film, 265mm x 216mm - Finished Roll Size Length 2,250'. Job 31889-01. Windset Farms 2LB Organic Grape Tomato",TRUE,0,AMCOR Flexibles,3343,The Strouse Corporation,TRUE,0,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21485,WF1.5SYTOMENSBL-W10.4,WF1.5SYTOMENSBL,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"CSM, Lidding Film, 265mm x 216mm - Finished Roll Size Length 2,250'. Job 31888-01. Windset Farms 1.5LB Symphony Tomato Ensemble Bili",TRUE,0,AMCOR Flexibles,3343,The Strouse Corporation,TRUE,0,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21486,WF1.5CCGRPTOMBL-W10.4,WF1.5CCGRPTOMBL,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"CSM, Lidding Film, 265mm x 216mm - Finished Roll Size Length 2,250'. Job 31887-01. Windset Farms 1.5LB Concerto Grape Tomato Bili.",TRUE,0,AMCOR Flexibles,3343,The Strouse Corporation,TRUE,0,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21487,9627-W2,9627,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"Adhesive Transfer Tape 9627, Clear, 5 mil",TRUE,0.230388889,"3M Company, Inc. Converter Markets",3141,The Strouse Corporation,TRUE,0.230388889,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21494,54 lb. C1S S0-W12.25,54 lb. C1S S0,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,3.2 mil 54 lb. Easy Release C1S Liner,TRUE,0.052479,"Channeled Resources, Inc. (GMC Coatings)",3277,The Strouse Corporation,TRUE,0.052479,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21496,1538-W2.75,1538,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"1538, Rayon Acetate Woven Tape, ",TRUE,0.225638194,"3M Company, Inc. Converter Markets",3141,The Strouse Corporation,TRUE,0.225638194,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21503,1538-W48,1538,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"1538, Rayon Acetate Woven Tape, ",TRUE,3.833333333,"3M Company, Inc. Converter Markets",3141,The Strouse Corporation,TRUE,3.833333333,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21504,SJ3507-W8,SJ3507,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"SJ3507, white loop fastener,",TRUE,2.3235,"3M Company, Inc. Converter Markets",3141,The Strouse Corporation,TRUE,2.3235,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21506,303-0023-000-W45.28,303-0023-000,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,CSM - Metalized Film  (SF69600800-1150),TRUE,0,JEM Engineering,3746,The Strouse Corporation,TRUE,0,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21508,1280 - CatID-21508,1280,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,"Circuit Plating Tape 1280 Red, 12 in x 72 yds x 4.2 mil, 1/Case, Bulk",TRUE,0.796083333,"3M Company, Inc. Converter Markets",3141,The Strouse Corporation,TRUE,0.796083333,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
21510,105/52-W0.64,105/52,Length Units,,Operations,Strouse-HQ,,Average,Default Cost Category,CSM - Saatifil Monofilament Polyester PES 105/52 PW Hyphil ribbon monolayer ,TRUE,0,StanBio Laboratory LP EKF Diagnostics,3629,The Strouse Corporation,TRUE,0,,,5000 Cost of Goods,300000 Sales,13100 Inventory Asset,FALSE
