externalid,binnumber,location,Concat
Z3C1,Z3C1,Houston,Z3C1Houston
Z3C2,Z3C2,Houston,Z3C2Houston
Z3C3,Z3C3,Houston,Z3C3Houston
Z3C4,Z3C4,Houston,Z3C4Houston
Z3C5,Z3C5,Houston,Z3C5Houston
Z3D1,Z3D1,Houston,Z3D1Houston
Z3D2,Z3D2,Houston,Z3D2Houston
Z3E1,Z3E1,Houston,Z3E1Houston
Z3E2,Z3E2,Houston,Z3E2Houston
Z3G,Z3G,Haughton,Z3GHaughton
Z4A1,Z4A1,Houston,Z4A1Houston
Z4A2,Z4A2,Houston,Z4A2Houston
Z4A3,Z4A3,Houston,Z4A3Houston
Z4B,Z4B,Haughton,Z4BHaughton
Z4B1,Z4B1,Houston,Z4B1Houston
Z4B2,Z4B2,Houston,Z4B2Houston
Z4C,Z4C,Haughton,Z4CHaughton
Z4C1,Z4C1,Houston,Z4C1Houston
Z4C2,Z4C2,Houston,Z4C2Houston
Z4C3,Z4C3,Houston,Z4C3Houston
Z4D1,Z4D1,Houston,Z4D1Houston
Z4D2,Z4D2,Houston,Z4D2Houston
Z4E1,Z4E1,Houston,Z4E1Houston
Z4E2,Z4E2,Houston,Z4E2Houston
Z4G,Z4G,Haughton,Z4GHaughton
Z5A,Z5A,Haughton,Z5AHaughton
Z5C,Z5C,Haughton,Z5CHaughton
Z5D,Z5D,Haughton,Z5DHaughton
Z5D5,Z5D5,Houston,Z5D5Houston
Z6B,Z6B,Haughton,Z6BHaughton
Z6C,Z6C,Haughton,Z6CHaughton
Z6D,Z6D,Haughton,Z6DHaughton
Z6E,Z6E,Haughton,Z6EHaughton
Z6F,Z6F,Haughton,Z6FHaughton
Z7C,Z7C,Haughton,Z7CHaughton
Z7D,Z7D,Haughton,Z7DHaughton
Z8C,Z8C,Haughton,Z8CHaughton
ZID,ZID,Haughton,ZIDHaughton
