Reference #,Adjustment Account,Date,Posting Period,Memo,Item Name Number,Vlookup,ID,Item Display Name,Location,Units,Adjust Qty By,Est. Unit Cost,Subtotal,Memo,Internal ID
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-00D,1,538,,BM Nagano,,2032,0.0008,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PL-038,1,484,,BM Nagano,,2168,1.4,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PL-039,1,485,,BM Nagano,,2168,0.1,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RF-014,1,666,,BM Nagano,,2186,0,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PL-056,1,504,,BM Nagano,,2188,0.22,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PL-058,1,505,,BM Nagano,,2188,0.31,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-FUS-005,1,242,,BM Nagano,,2278,0.0965,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-CON-036,1,165,,BM Nagano,,2317,0.00001,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-IND-054,1,308,,BM Nagano,,2328,0.05272,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-MOS-017,1,385,,BM Nagano,,2340,0.342,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-MNT-00B,1,353,,BM Nagano,,2762.999996,1.8,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-LBL-00C,1,324,,BM Nagano,,2905,0.05,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RF-017,1,670,,BM Nagano,,2981,0.31,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-DRIV-039,1,224,,BM Nagano,,3000,0.00001,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-RES-019,1,552,,BM Nagano,,3221,0.001,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-00F,1,424,,BM Nagano,,3270,0,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PCKG-019,1,433,,BM Nagano,,3289,0,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-SENS-002,1,680,,BM Nagano,,3329,0.1,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-CAP-043,1,77,,BM Nagano,,3455,0.0008,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PL-026,1,471,,BM Nagano,,3489,0.85,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-SW-004,1,693,,BM Nagano,,3624,0.364,,,4774
,3895,11/30/2022,Nov-22,Opening Balance Inventory,NCSS-PL-03F,1,490,,BM Nagano,,3724,0.02,,,4774
